x,z,rx,ry,rz,ra,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
0.00000,0.74000,0.00000,0.00000,0.00000,0.00000,-0.34000,0.10000,0.00000,0.60000,-0.25000,0.10000,-0.34000,-0.10000,0.00000,0.60000,-0.25000,-0.10000,0.00000,0.30000,0.22000,0.20000,0.90000,0.00000,0.30000,-0.22000,-0.20000,0.90000,0.00000
